benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
0.0,20250725,69.28,-3.12,16.2,-3.12,False,sh688702
5.69,20240927,15.96,1.5,11.59,1.5,False,sh601012
5.69,20240927,97.19,14.34,1.74,14.34,False,sh603501
14.62,20240925,4.95,8.28,-7.02,8.28,False,sh600210
10.03,20240926,9.5,7.69,-6.48,7.69,False,sh603066
21.89,20240924,2.05,19.51,-0.39,19.51,False,sh600397
0.82,20250624,54.37,1.28,-3.63,1.28,False,sh688685
14.62,20240925,6.25,4.32,-1.03,4.32,False,sh603028
-8.32,20241008,19.85,-11.79,23.37,-11.79,False,sh603855
14.62,20240925,9.05,37.13,9.72,37.13,True,sh600739
0.82,20250624,30.06,0.83,1.66,0.83,False,sh688478
0.0,20250904,30.68,7.95,-4.01,7.95,False,sh605296
0.82,20250624,21.36,2.29,-3.95,2.29,False,sh603004
10.03,20240926,3.03,4.29,0.2,4.29,False,sh600693
14.62,20240925,7.74,23.9,-6.78,23.9,True,sh600109
10.03,20240926,11.17,7.97,-14.53,7.97,False,sh600420
0.0,20251020,14.57,4.46,-3.96,4.46,False,sh688455
0.0,20251126,33.77,1.84,-18.35,1.84,False,sh688206
5.69,20240927,7.47,4.15,0.63,4.15,False,sh600714
-4.05,20240930,11.45,-0.26,15.0,-0.26,False,sh603656
5.69,20240927,5.16,1.36,2.8,1.36,False,sh601226
-2.35,20240731,14.52,1.31,18.77,1.31,False,sh600859
0.0,20251103,15.0,-5.87,-0.73,-5.87,False,sh688365
0.0,20250924,8.49,3.77,-4.93,3.77,False,sh688602
