,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
104,Advanced Biomed,ADVB,US,5.73,-,20.40%,0.3/1.78,-,-11.44,-,-,-,-,781.88万,647.10万,医疗保健设备,7.29%,0.22%,0.825
105,Adams Diversified,ADX,US,24.63,http://www.adamsexpress.com,1.15%,3.92/6.28,Adams Express Company (NYSE: ADX) is a publicly-traded diversified equity fund. The Company uses a conservative investment philosophy and the portfolio is managed with the expectation that it will generate solid returns with lower-than-market risk for long-term investors.,0.94,-,-,NYSE,-,30.18亿,4.81亿,资本市场,0.33%,17.75%,0.996
106,Addex Therapeutics,ADXN,US,7,-,12.54%,-0.06/-,-,14.01,-,-,-,-,862.40万,-614.02万,制药,0.98%,0.03%,1.15
107,Activate Energy,AEAQ,US,-,-,-,0.03/1038,-,-,-,-,-,-,3.12亿,30.04万,资本市场,-,0.06%,-
108,Aebi Schmidt,AEBI,US,11.48,-,3.88%,0.17/91.28,-,-2.63,-,-,-,-,8.89亿,973.90万,机械制造,0.78%,40.95%,1.09
109,Anfield Energy,AEC,US,5.4,-,3.64%,-0.93/-,-,-1.64,-,-,-,-,9819.89万,-1438.32万,金属与采矿,0.10%,6.79%,2.88
110,阿曼瑞恩,AEE,US,111.12,-,1.21%,5.38/21.11,-,-0.83,-,-,NYSE,-,307.42亿,14.56亿,复合型公用事业,0.46%,83.66%,2.29
111,abrdn Emerging,AEF,US,9.03,-,2.56%,2.35/3.84,-,2.61,-,-,-,-,3.67亿,9556.42万,资本市场,0.33%,55.97%,1.18
112,荷兰全球保险,AEG,US,8.02,http://www.aegonins.com/,1.19%,0.69/13.35,"AEGON N.V. is an international life insurance, pension and investment company based in The Hague, The Netherlands. AEGON has businesses in over twenty markets in the Americas, Europe and Asia. AEGON companies employ approximately 28,000 people and have over 40 million customers across the globe.",0.75,-,-,NYSE,-,153.10亿,11.47亿,保险,0.31%,10.26%,1.39
113,羚羊控股,AEHL,US,0.517,-,5.77%,-1.03/-,-,-0.58,-,-,-,-,266.85万,-365.20万,互动媒体与服务,8.08%,0.81%,0.102
114,Aehr Test Systems,AEHR,US,95.91,-,8.32%,-0.28/-,-,0.42,-,-,-,-,30.17亿,-851.70万,半导体产品与设备,9.02%,68.49%,21.73
115,Alset,AEI,US,1.59,-,7.69%,-2.22/-,-,-5.92,-,-,-,-,6184.44万,-4741.49万,房地产管理和开发Ⅲ,0.16%,5.86%,0.511
116,先进能源工业,AEIS,US,387.24,-,3.54%,3.95/99.23,-,1.25,-,-,NASDAQ,-,147.26亿,1.48亿,电子设备与仪器,2.61%,107.98%,10.81
117,伊格尔矿业,AEM,US,200.23,-,2.00%,8.89/22.48,-,0.64,-,-,NYSE,-,1003.13亿,44.61亿,金属与采矿,0.43%,63.48%,4.05
118,Aethlon Medical,AEMD,US,2.2,-,3.16%,-11.01/-,-,-2.22,-,-,-,-,345.20万,-526.72万,医疗保健设备,0.49%,0.82%,0.514
119,Alliance,AENT,US,7.34,-,6.06%,0.28/37.23,-,1.1,-,-,-,-,8.14亿,1426.80万,娱乐,0.56%,48.23%,3.46
120,美鹰服饰,AEO,US,17.91,http://www.ae.com,2.06%,1.12/15.55,American Eagle Outfitters Inc (NYSE:AEO)是美国一家服装零售商。,-1.54,-,-,NYSE,-,29.85亿,1.92亿,专营零售,1.80%,95.85%,1.76
121,AEON Biopharma,AEON,US,1.05,-,8.65%,-3.95/-,-,0.96,-,-,-,-,2656.82万,-3922.20万,制药,0.41%,9.85%,-
122,美国电力,AEP,US,134.73,http://www.aep.com,1.30%,6.7/20.46,美国电力（American Electric Power ，NYSE：AEP)是全美最大的公共事业公司之一。,-0.26,-,614-716-1000,NYSE,-,732.34亿,35.80亿,电力,0.35%,80.63%,2.35
123,Aercap飞机租赁,AER,US,138.08,http://www.aercap.com/,1.96%,21.78/6.14,"AerCap is an integrated global aviation company with a leading market position in aircraft and engine leasing, trading and parts sales. AerCap also provides aircraft management services and performs aircraft maintenance, repair and overhaul services and aircraft disassemblies. Following the merger with Genesis Lease in March 2010, AerCap has become the world's leading independent aircraft leasing company with total assets of approximately $9.3 billion. In addition, AerCap has $1.4 billion of committed purchases, ensuring further growth with new, fuel-efficient aircraft.",-0.73,-,-,NYSE,-,230.42亿,37.51亿,贸易与经销,0.90%,89.78%,1.26
124,Aeromexico,AERO,US,14.97,-,6.82%,0.24/6.4,-,0.54,-,-,-,-,21.84亿,1100.00万,航空公司,0.25%,7.28%,-
125,Aeries Technology,AERT,US,0.533,-,18.30%,0.06/-,-,-11.31,-,-,-,-,2676.18万,283.40万,专业服务,4.06%,0.51%,-
126,爱依斯电力,AES,US,14.49,http://www.aes.com,0.31%,1.26/11.48,爱依斯电力（AES Corp）是美国最大的电力供应商之一。,-0.07,-,-,NYSE,-,103.32亿,9.00亿,独立电力生产商,2.56%,85.95%,2.54
127,Atlas Energy,AESI,US,16.31,-,3.23%,-0.41/-,-,1.24,-,-,-,-,20.37亿,-5030.40万,石油与天然气,5.80%,69.98%,1.69
128,Aeva Technologies,AEVA,US,16.17,-,7.10%,-2.55/-,-,4.39,-,-,-,-,10.18亿,-1.45亿,汽车零配件,3.10%,70.68%,77
129,American Exceptional,AEXA,US,11.11,-,1.40%,-0.22/-,-,0,-,-,-,-,5.50亿,-719.73万,资本市场,0.24%,76.19%,-
130,AudioEye,AEYE,US,7.25,-,5.83%,-0.25/-,-,5.07,-,-,-,-,9059.59万,-307.70万,信息技术服务,1.67%,28.65%,18.88
131,AllianceBernstein,AFB,US,11.02,-,0.68%,0.12/91.97,-,0.36,-,-,-,-,3.17亿,344.41万,资本市场,0.20%,65.21%,0.903
132,Affinity Bancshares,AFBI,US,22.41,-,0.07%,1.33/16.39,-,0,-,-,-,-,1.37亿,833.20万,商业银行,0.85%,24.90%,1.08
133,Advanced Flower,AFCG,US,2.99,-,2.36%,-0.95/-,-,0.67,-,-,-,-,7035.12万,-2067.34万,抵押型REITs,0.34%,23.69%,0.401
134,美国金融,AFG,US,130.28,http://www.afginc.com,1.58%,10.08/12.86,"American Financial Group, Inc. (NYSE/NASDAQ:AFG) is a holding company based in Cincinnati, Ohio and has been in business for more than four decades. Our insurance roots go back to the 1800’s with the founding of Great American Insurance Company in 1872. Today, through the operations of Great American Insurance Group, AFG is engaged primarily in property and casualty insurance (“P&C”), focusing on specialized commercial products for businesses, and in the sale of traditional fixed, indexed and variable annuities and a variety of supplemental insurance products. AFG’s purpose is to enable individuals and businesses to manage financial risk using insurance products and services tailored to meet their specific and ever-changing risk exposures. AFG’s strategy is to allocate capital to insurance operations which management believes offer a competitive advantage or unique opportunities.",-1.47,-,-,NYSE,-,108.24亿,8.42亿,保险,0.64%,67.78%,2.25
135,Aimei Health,AFJK,US,47.2,-,5.49%,0.3/205.5,-,4.89,-,-,-,-,2.89亿,96.17万,资本市场,0.11%,17.24%,-
136,美国家庭寿险,AFL,US,114.62,http://www.aflac.com/,1.43%,6.84/16.2,"美国家庭人寿保险（AFLAC Inc）主要业务集中在健康与人寿保险方面。虽然公司的总部仍在美国，但最大的市场却是在日本。今天，美国家庭人寿保险公司已成为人们所熟知的AFLAC──就是那家用鸭子做广告的公司。

AFLAC 诞生于《财富》500强推出的同一年，并最终跻身500强。",-0.43,-,-,NYSE,-,590.50亿,36.46亿,保险,0.40%,67.96%,2
137,Forafric Global,AFRI,US,10.37,-,3.23%,-0.39/-,-,1.57,-,-,-,-,2.79亿,-1088.30万,食品,0.60%,2.30%,-
138,Affirm Holdings,AFRM,US,63.72,-,2.94%,0.63/75.18,-,1.18,-,-,-,-,212.26亿,2.10亿,综合金融服务,1.47%,81.97%,5.98
139,Afya,AFYA,US,13.97,-,3.83%,1.52/9.14,-,-2.65,-,-,-,-,12.55亿,1.37亿,综合消费者服务,0.95%,23.20%,1.42
140,First Majestic,AG,US,20.56,-,3.46%,0.34/61.55,-,1.53,-,-,NYSE,-,101.51亿,1.65亿,金属与采矿,1.93%,45.98%,3.68
141,Allied Gaming,AGAE,US,0.521,-,10.78%,-0.37/-,-,3.99,-,-,-,-,1964.53万,-1500.88万,娱乐,9.27%,7.52%,0.375
142,AGI,AGBK,US,7.58,-,4.63%,0.23/6.4,-,1.75,-,-,-,-,12.12亿,1.89亿,消费信贷,0.44%,1.33%,2.03
143,Agencia,AGCC,US,22.05,-,13.47%,0.03/1106,-,4.95,-,-,-,-,8.22亿,43.01万,食品与日用品零售,0.62%,0.36%,245
144,爱科集团,AGCO,US,116.13,http://www.agcocorp.com/,3.62%,9.76/11.57,"AGCO is the largest pure play, full-line agricultural equipment manufacturer.",-2.85,-,-,NYSE,-,84.08亿,7.26亿,机械制造,1.23%,91.65%,1.97
145,abrdn Global Dynamic,AGD,US,12,http://www.alpinecef.com/,1.18%,1.79/7.04,"The Alpine Global Dynamic Dividend Fund (""AGD""), Alpine Total Dynamic Dividend Fund (""AOD"") and Alpine Global Premier Properties Fund (""AWP"") are closed-end funds. AGD's first trade day was July 26, 2006 under the ticker symbol AGD. AOD's first trade day was January 26, 2007 under the ticker symbol AOD. AWP's first trade day was April 26, 2007 under the ticker symbol AWP.",1.1,-,-,NYSE,-,3.13亿,4454.84万,资本市场,0.58%,16.04%,1.08
146,艾吉纳斯,AGEN,US,3.9,-,7.71%,0.0000/-,-,3.72,-,-,NASDAQ,-,1.50亿,-10.10万,生物科技,2.23%,26.93%,-
147,Aureus Greenway,AGH,US,3.98,-,13.22%,-0.27/-,-,9.64,-,-,-,-,8061.36万,-367.70万,酒店餐饮与休闲,8.56%,2.60%,2.46
148,Alamos Gold,AGI,US,45.16,-,3.96%,2.11/21.41,-,2.68,-,-,NYSE,-,189.66亿,8.86亿,金属与采矿,0.72%,58.38%,4.27
149,Abundia Global,AGIG,US,1.15,-,6.40%,-0.9/-,-,-8,-,-,-,-,5027.91万,-2945.23万,石油与天然气,1.59%,2.88%,2.64
150,Agios,AGIO,US,25.32,-,2.62%,-7.12/-,-,-1.63,-,-,NASDAQ,-,14.84亿,-4.13亿,生物科技,1.81%,103.95%,1.24
151,agilon health,AGL,US,26.21,-,8.17%,-0.95/-,-,-0.42,-,-,-,-,4.37亿,-3.91亿,医疗保健服务,2.35%,88.00%,3.45
152,联邦农业抵押贷款C,AGM,US,173.26,-,2.49%,16.73/10.31,-,-0.08,-,-,NYSE,-,18.81亿,1.82亿,综合金融服务,1.08%,85.69%,1.55
153,联邦农业抵押A,AGM.A,US,135,-,0.00%,16.73/8.03,-,0,-,-,-,-,14.66亿,1.82亿,综合金融服务,0.01%,0.00%,1.21
154,AgomAb,AGMB,US,11.05,-,7.48%,-168.08/-,-,3.27,-,-,-,-,5.44亿,-7340.52万,生物科技,-,-,3.54
155,安高盟,AGMH,US,0.87,-,3.05%,-2.04/0.2,-,-1.69,-,-,-,-,304.41万,-279.70万,软件,1.72%,0.01%,0.085
156,美国资本代理,AGNC,US,11.02,http://www.agnc.com/,1.98%,-0.17/9.71,"American Capital Agency Corp. (Nasdaq: AGNC) is a mortgage REIT that invests in agency securities for which the principal and interest payments are guaranteed by

a U.S. Government agency (such as the Government National Mortgage Association, or GNMA), or 
a U.S. Government-sponsored entity (such as the Federal National Mortgage Association, or FNMA, and the Federal Home Loan Mortgage Corporation, or FHLMC).",1.47,-,-,NASDAQ,-,126.49亿,-1.92亿,抵押型REITs,1.11%,36.72%,1.24
157,保证担保,AGO,US,83.4,http://www.assuredguaranty.com/,2.12%,10.39/7.44,"Assured Guaranty Ltd. (AGL or, together with its subsidiaries, Assured Guaranty) is a Bermuda-based holding company whose subsidiaries provide credit enhancement products to the capital markets through its three principal insurance subsidiaries: Assured Guaranty Corp. (AGC), Assured Guaranty Municipal Corp. (AGM) and Assured Guaranty Re Ltd. (AG Re).  In addition to its headquarters in Hamilton, Bermuda, Assured Guaranty has offices in New York, San Francisco, London, Madrid and Sydney.",0.06,-,-,NYSE,-,37.41亿,5.03亿,保险,0.74%,92.20%,0.661
158,Axe Compute,AGPU,US,6.64,-,10.14%,-13.37/-,-,-6.48,-,-,-,-,3678.07万,-2.33亿,信息技术服务,29.91%,2.52%,0.771
159,Adecoagro,AGRO,US,12.78,http://www.argogrouplimited.com/,7.39%,-0.08/-,"Adecoagro is currently one of the leading companies in the production of food and renewable energy in South America. Present in Argentina, Brazil and Uruguay, our main activities include the production of grains, rice, oilseed, dairy products, sugar, ethanol, coffee and cotton.
Since its creation in 2002, the company´s growth was based on the implementation of a sustainable efficient production model, working on its own land and managing risk through diversification.",-3.69,-,-,NYSE,-,18.22亿,-834.80万,食品,4.42%,10.93%,1.1
160,Agroz,AGRZ,US,0.399,-,7.94%,-/103.9,-,5.56,-,-,-,-,864.77万,53.34万,食品,0.75%,0.93%,2.23
161,Argan,AGX,US,652.99,-,3.08%,10/66.17,-,-0.58,-,-,NYSE,-,91.16亿,1.38亿,建筑与工程,1.60%,91.82%,19.72
162,诶吉利斯,AGYS,US,66.76,-,6.09%,0.95/61.68,-,5.82,-,-,-,-,18.77亿,2649.70万,软件,1.14%,104.69%,5.99
163,AdaptHealth,AHCO,US,12.8,-,2.95%,-0.52/-,-,0.55,-,-,-,-,17.40亿,-7079.40万,医疗保健服务,1.49%,103.98%,1.15
164,阿克索健康,AHG,US,2.035,-,8.11%,0.0000/-,-,-4.01,-,-,-,-,17.43亿,-127.57万,多元化零售,0.12%,0.01%,8.81
165,Ambitions Enterprise,AHMA,US,1.1,-,8.02%,0.01/28.03,-,3.77,-,-,-,-,3269.75万,32.89万,酒店餐饮与休闲,6.55%,1.49%,4.87
166,American Healthcare,AHR,US,50.1,-,1.57%,0.42/137.7,-,-0.95,-,-,-,-,96.13亿,6980.60万,医疗保健房地产投资信托,1.02%,93.55%,2.89
167,AH Realty Trust,AHRT,US,6.04,-,2.50%,-/-,-,0.67,-,-,-,-,4.84亿,-594.40万,权益型REITs,0.82%,74.44%,1.06
168,阿什福德酒店管理信托,AHT,US,2.95,-,6.79%,-35.99/-,-,-2.32,-,-,NYSE,-,1910.56万,-2.15亿,酒店和度假村房地产投资信托,0.23%,19.02%,-
169,C3.ai,AI,US,8.64,http://www.arlingtonasset.com/,3.14%,-2.56/-,"The company is a publicly traded company that invests on a leveraged basis in residential mortgage-backed securities (MBS), including collateralized mortgage obligations (CMOs), either issued by a U.S. Government agency, or guaranteed as to principal and interest by U.S. Government agencies or U.S. Government-sponsored entities. They also invest in both AAA-rated MBS issued by private organizations (private-label MBS) and net interest margin securities and they hold merchant banking investments.",1.17,-,-,NYSE,-,12.55亿,-3.55亿,软件,3.13%,54.95%,1.74
170,BlockchAIn,AIB,US,1.6,-,6.65%,0.0000/-,-,1.27,-,-,NYSE,-,6020.65万,-83.54万,软件,1.82%,0.13%,7.66
171,20/20 Biolabs,AIDX,US,1.64,-,8.02%,-0.76/-,-,1.23,-,-,-,-,1718.73万,-373.88万,医疗保健服务,0.75%,0.00%,-
172,Firefly Neuroscience,AIFF,US,2.29,-,13.59%,-1.97/-,-,11.17,-,-,-,-,3387.61万,-2453.10万,信息技术服务,9.45%,6.09%,4.44
173,智能未来,AIFU,US,1.4,-,8.70%,-11.84/-,-,1.45,-,-,-,-,1.73亿,-6501.05万,保险,0.04%,0.03%,0.59
174,美国国际集团,AIG,US,75.14,http://www.aigcorporate.com,2.23%,5.48/12.98,美国国际集团（AIG）是一家在美国和全球范围内开展多种保险和保险相关业务的控股公司。AIG向130多个国家和地区的企业和个人提供保险、金融、投资产品和服务，主要涉足以下四个业务领域：普通保险、人寿保险和退休服务、金融服务以及资产管理。AIG的普通股在纽约证券交易所上市，以及爱尔兰和东京的证券交易所上市交易。,-1.56,S1/F1,212-770-3099,NYSE,美国纽约市Pine大街70号,401.90亿,30.96亿,保险,0.66%,97.62%,0.977
175,森淼科技,AIHS,US,1.25,-,6.11%,-0.9/-,-,-4.58,-,-,-,-,569.69万,-185.04万,消费信贷,14.15%,1.18%,-
176,American Integrity,AII,US,19.67,-,3.15%,5.65/3.87,-,1.65,-,-,-,-,3.85亿,9962.10万,保险,0.85%,56.07%,1.14
177,AI Infrastructure,AIIA,US,10.1,-,0.00%,0.11/177.4,-,0,-,-,-,-,1.95亿,109.80万,资本市场,0.00%,60.47%,174.1
178,Robo.ai,AIIO,US,0.653,-,11.27%,-0.01/-,-,-5.64,-,-,-,-,1280.21万,-223.60万,汽车零配件,1.59%,0.37%,-
179,AIM ImmunoTech,AIM,US,0.517,-,5.19%,-8.62/-,-,-0.58,-,-,-,-,421.24万,-1395.80万,生物科技,1.28%,1.33%,-
180,Ainos,AIMD,US,1.77,-,4.78%,-3.46/-,-,-0.56,-,-,-,-,1286.08万,-1477.10万,生物科技,0.93%,3.55%,1.7
181,奥尔巴尼国际,AIN,US,55.32,http://www.albint.com,2.53%,-1.94/-,"Founded in 1895, the Company is headquartered in Albany, New York, and employs approximately 4,700 people worldwide. Our manufacturing operations are strategically located to serve our global customers. 

Albany International trades on the New York Stock Exchange under the symbol AIN and is a component of the S&P SmallCap 600  and Russell 2000 Indices.",-2.07,-,-,NYSE,-,15.69亿,-5734.20万,纺织服装与奢侈品,1.25%,105.07%,2.16
182,Virtus Artificial,AIO,US,24.68,-,1.28%,4.35/5.69,-,1.73,-,-,-,-,8.50亿,1.49亿,资本市场,0.20%,18.45%,0.993
183,爱奥斯科技,AIOS,US,0.417,-,11.42%,-47.65/-,-,5.84,-,-,-,-,2709.88万,-2.21亿,机械制造,-,0.13%,5.79
184,PowerFleet,AIOT,US,3.34,-,5.10%,-0.13/-,-,-2.62,-,-,-,-,4.48亿,-1788.60万,无线电信业务,2.36%,88.24%,0.924
185,Arteris,AIP,US,26.72,-,9.26%,-0.82/-,-,9.91,-,-,-,-,12.32亿,-3474.60万,半导体产品与设备,4.15%,56.69%,-
186,AAR,AIR,US,110.54,http://www.aarcorp.com/,2.68%,3.61/25.7,"AAR is a leading provider of diverse products and services to the worldwide commercial aviation and government/defense industries. AAR combines a close-to-the-customer business model with a broad range of capabilities to help customers operate more efficiently, lower costs and maintain high levels of quality, safety and service. AAR is a financially stable, dedicated partner with an enduring commitment to innovation, execution, continuous improvement and customer value.",-1.37,-,-,NYSE,-,43.96亿,1.37亿,航空航天与国防,0.74%,95.75%,2.67
187,reAlpha Tech,AIRE,US,0.278,-,6.27%,-0.23/-,-,2.58,-,-,-,-,3665.50万,-1771.68万,软件,1.19%,4.21%,2.93
188,Airgain,AIRG,US,6.76,-,5.91%,-0.54/-,-,2.42,-,-,NASDAQ,-,8263.35万,-642.60万,无线电信业务,2.09%,32.22%,2.92
189,Air Industries Group,AIRI,US,3.18,-,1.23%,-0.31/-,-,0.63,-,-,-,-,1520.38万,-130.50万,航空航天与国防,0.78%,5.14%,0.792
190,AirJoule,AIRJ,US,3.18,-,5.99%,-0.15/-,-,0.32,-,-,-,-,2.18亿,-904.02万,机械制造,0.63%,12.89%,0.813
191,AIRO Group,AIRO,US,7.93,-,4.97%,-0.17/-,-,-3.88,-,-,-,-,2.49亿,-410.40万,航空航天与国防,1.65%,27.02%,0.337
192,AirSculpt,AIRS,US,2.44,-,5.62%,-0.19/-,-,-2.01,-,-,-,-,1.72亿,-1166.70万,医疗保健服务,17.40%,59.15%,1.96
193,Air T,AIRT,US,22.8,-,7.24%,0.1/-,-,3.17,-,-,-,-,6162.02万,26.80万,航空货运与物流,0.00%,6.99%,-
194,Airship AI Holdings,AISP,US,2.52,-,4.69%,0.9/2.95,-,-0.79,-,-,-,-,8661.78万,2932.14万,信息技术服务,1.18%,19.59%,-
195,应用工业技术,AIT,US,293.35,http://www.fandc.com,1.11%,5.21/27.1,"Applied (NYSE: AIT) is one of North America’s largest industrial distributors of bearings, power transmission components, hydraulic components and systems, pneumatic components and systems, industrial rubber products, linear components, tools, safety products, general maintenance and a variety of material handling products. We also provide customized mechanical, fabricated rubber and fluid power shop services, as well as services to meet storeroom management and maintenance training needs.",-0.36,-,-,NYSE,-,109.43亿,1.96亿,贸易与经销,0.58%,95.10%,5.84
196,公寓投资管理,AIV,US,4.23,-,1.18%,3.95/1.1,-,-0.24,-,-,NYSE,-,6.09亿,5.54亿,住宅房地产投资信托,0.60%,87.49%,1.68
