ts_code,breakthrough_date,breakthrough_price,max_drawdown,max_gain,success,final_gain
sh600346,20240731,13.44,9.0,0.0,False,-3.42
sh601717,20240930,12.97,14.03,0.0,False,-6.86
sh688350,20260324,26.24,0.53,13.0,False,9.53
sh688299,20250811,18.22,3.24,38.04,True,35.46
sh601127,20240930,88.81,5.88,39.3,True,39.3
sh600325,20240926,6.15,0.0,17.57,False,11.39
sh688819,20250624,27.04,1.48,4.29,False,4.29
sh600196,20240731,22.99,6.65,2.44,False,-4.13
sh603960,20241008,21.47,15.97,13.09,False,12.71
sh601169,20240807,5.04,3.77,5.36,False,-2.98
sh601588,20250702,1.77,0.56,9.04,False,3.95
sh900957,20240830,0.27,8.58,40.67,True,40.67
sh600738,20240926,3.87,0.78,15.0,False,13.97
sh603029,20240930,15.28,8.57,4.06,False,-2.03
sh601326,20260105,3.5,2.0,3.71,False,0.57
sh600396,20240930,2.7,10.74,10.74,False,6.3
sh600776,20240920,9.63,1.14,23.37,True,19.84
sh603486,20250624,54.16,0.0,30.04,True,25.55
sh600211,20240814,32.38,6.62,2.35,False,-3.87
sh601789,20240927,3.66,0.0,17.76,False,11.2
sh688207,20250624,14.98,4.94,3.54,False,1.27
sh603836,20251013,14.03,1.43,14.04,False,14.04
sh000160,20240927,1841.66,0.44,10.89,False,4.29
sh603330,20240930,5.48,9.12,22.26,True,12.04
sh600421,20240819,6.66,15.02,2.1,False,1.95
sh688380,20250725,28.48,2.49,9.83,False,9.83
sh600975,20241107,6.98,10.46,0.0,False,-6.16
sh600108,20240926,2.54,0.0,14.15,False,12.18
sh688249,20250722,21.8,2.25,5.28,False,3.85
sh600692,20240918,5.33,1.31,21.76,True,12.2
sh603587,20240927,10.91,2.29,11.64,False,-1.1
sh600816,20240925,2.74,4.01,31.39,True,14.6
sh688199,20251020,23.99,2.71,7.09,False,1.67
sh688603,20250723,48.8,2.25,98.3,True,90.33
sh601921,20251103,8.08,3.47,1.11,False,-0.87
sh600858,20240926,4.34,2.53,16.81,False,12.9
sh600676,20240821,3.54,14.41,1.98,False,-10.45
sh600874,20251216,6.14,3.58,0.0,False,-1.3
sh603082,20250721,39.64,3.53,5.58,False,5.58
sh600372,20240927,11.96,0.0,16.14,False,4.18
sh603979,20240927,48.44,19.53,2.42,False,-14.88
sh600615,20240802,8.75,17.34,0.0,False,-13.43
sh603105,20250702,8.35,1.68,2.63,False,1.56
